Step,Sys_Time_Cost,Sys_Energy_J,Cum_Sys_Time_Cost,Cum_Sys_Energy_J,Objective_Value_Cost,mu_L,mu_E
0,23.792361010580045,411.92886854397767,23.792361010580045,411.92886854397767,229.75679528256887,1.0,0.5
1,24.758404488287105,412.56970813169386,48.55076549886715,824.4985766756715,231.04325855413404,1.0,0.5
2,22.75707596316978,414.51724931882956,71.30784146203693,1239.015825994501,230.01570062258455,1.0,0.5
3,23.32278306621388,410.767754722218,94.63062452825082,1649.783580716719,228.70666042732287,1.0,0.5
4,28.1481126847097,403.6911128809877,122.77873721296052,2053.4746935977064,229.99366912520355,1.0,0.5
5,19.36610277707779,415.4719930016792,142.14483999003832,2468.9466865993854,227.1020992779174,1.0,0.5
6,29.766932800834823,410.30531116659375,171.91177279087316,2879.251997765979,234.9195883841317,1.0,0.5
7,25.193684654142608,404.0950463704761,197.10545744501576,3283.347044136455,227.24120783938065,1.0,0.5
8,21.61190791543825,408.2254258619555,218.717365360454,3691.5724699984107,225.724620846416,1.0,0.5
9,22.76206190240322,405.19968291707,241.47942726285723,4096.772152915481,225.36190336093821,1.0,0.5
10,18.700211070909678,423.64369532404885,260.1796383337669,4520.41584823953,230.5220587329341,1.0,0.5
11,22.361736171824752,397.51299174320684,282.54137450559165,4917.9288399827365,221.11823204342818,1.0,0.5
12,27.001703162706804,432.3671529300734,309.54307766829845,5350.29599291281,243.1852796277435,1.0,0.5
13,17.123105378174436,405.01090170893417,326.6661830464729,5755.3068946217445,219.62855623264153,1.0,0.5
14,18.622679250723653,395.4079202385124,345.28886229719654,6150.714814860257,216.32663936997986,1.0,0.5
15,33.57960916880427,400.83408565466965,378.8684714660008,6551.548900514927,233.9966519961391,1.0,0.5
16,18.765731598138657,399.7037736477486,397.63420306413946,6951.252674162675,218.61761842201298,1.0,0.5
17,27.987089686503133,391.5533745035048,425.62129275064257,7342.80604866618,223.76377693825555,1.0,0.5
18,23.06481527064257,417.60310309123025,448.6861080212851,7760.40915175741,231.8663668162577,1.0,0.5
19,17.85869893172989,417.1573120670936,466.54480695301504,8177.566463824503,226.43735496527668,1.0,0.5
20,19.4080908812998,395.75881778712767,485.95289783431485,8573.325281611631,217.28749977486365,1.0,0.5
21,21.06533557858305,424.92751302141363,507.0182334128979,8998.252794633045,233.52909208928986,1.0,0.5
22,14.764180594047577,397.0084556073453,521.7824140069455,9395.26125024039,213.26840839772024,1.0,0.5
23,20.182918200892647,398.04894408889083,541.9653322078382,9793.31019432928,219.20739024533808,1.0,0.5
24,23.32736668503374,433.32195275851467,565.292698892872,10226.632147087796,239.9883430642911,1.0,0.5
25,20.31354373072002,429.6029029054234,585.6062426235919,10656.235049993218,235.11499518343172,1.0,0.5
26,26.263522357038216,395.0039993772608,611.8697649806302,11051.239049370479,223.76552204566863,1.0,0.5
27,24.116122413015304,392.39967304666635,635.9858873936455,11443.638722417145,220.31595893634847,1.0,0.5
28,18.25903379765922,452.8935839983286,654.2449211913047,11896.532306415473,244.70582579682352,1.0,0.5
29,35.23517172342206,426.77083969381493,689.4800929147267,12323.303146109287,248.62059157032954,1.0,0.5
30,20.394233990848825,429.6847371310454,709.8743269055756,12752.987883240332,235.2366025563715,1.0,0.5
31,21.02596096640712,432.1209347329048,730.9002878719826,13185.108817973236,237.08642833285953,1.0,0.5
32,24.2366889503853,426.9415851975204,755.136976822368,13612.050403170757,237.70748154914548,1.0,0.5
33,21.890849133760113,431.96084749484214,777.027825956128,14044.011250665599,237.8712728811812,1.0,0.5
34,33.96424691824524,414.2122858921099,810.9920728743732,14458.223536557709,241.07038986430018,1.0,0.5
35,20.570197197953124,427.396089698334,831.5622700723263,14885.619626256042,234.2682420471201,1.0,0.5
36,23.277377814443454,409.5972787670039,854.8396478867697,15295.216905023046,228.07601719794542,1.0,0.5
37,17.83388920536578,429.43872216175737,872.6735370921356,15724.655627184804,232.55325028624446,1.0,0.5
38,21.246609235116303,427.50659935517405,893.9201463272519,16152.162226539978,234.99990891270332,1.0,0.5
39,21.96067337241699,436.82551128602285,915.8808196996689,16588.987737826003,240.37342901542843,1.0,0.5
40,33.52665267456932,507.0744396093337,949.4074723742382,17096.062177435335,287.0638724792362,1.0,0.5
41,22.825406458199417,457.63322175478095,972.2328788324376,17553.695399190117,251.64201733558988,1.0,0.5
42,24.707496238002083,408.0996446440512,996.9403750704397,17961.79504383417,228.75731856002767,1.0,0.5
43,20.62105370885508,446.13301960258053,1017.5614287792948,18407.92806343675,243.68756351014534,1.0,0.5
44,24.01358522127523,446.2120537448795,1041.57501400057,18854.14011718163,247.11961209371498,1.0,0.5
45,21.77416475507603,454.9056309629003,1063.349178755646,19309.04574814453,249.22698023652617,1.0,0.5
46,17.372869843469203,445.52453962249365,1080.7220485991154,19754.570287767023,240.13513965471603,1.0,0.5
47,55.411703956953176,464.71873233271106,1136.1337525560687,20219.289020099735,287.77107012330873,1.0,0.5
48,23.255151488323147,429.29649399416337,1159.388904044392,20648.5855140939,237.90339848540484,1.0,0.5
49,23.09183550525831,456.52639290541424,1182.4807395496503,21105.11190699931,251.35503195796542,1.0,0.5
50,19.35764108105637,434.60363326359214,1201.8383806307065,21539.715540262903,236.65945771285243,1.0,0.5
51,21.309808640970967,441.66754520696855,1223.1481892716774,21981.38308546987,242.14358124445525,1.0,0.5
52,23.50893888072566,428.81058523388873,1246.6571281524032,22410.19367070376,237.91423149767002,1.0,0.5
53,25.69148914453772,425.90642504565113,1272.3486172969408,22836.10009574941,238.64470166736328,1.0,0.5
54,35.06798374262611,472.53918996866287,1307.416601039567,23308.639285718073,271.33757872695753,1.0,0.5
55,22.597824610224002,445.84165510076195,1330.014425649791,23754.480940818834,245.51865216060497,1.0,0.5
56,25.880334131889207,433.6186350530475,1355.8947597816802,24188.099575871882,242.68965165841297,1.0,0.5
57,39.08085906895321,455.72852244672833,1394.9756188506335,24643.82809831861,266.94512029231737,1.0,0.5
58,20.155457160815057,426.75173601943567,1415.1310760114486,25070.579834338045,233.53132517053288,1.0,0.5
59,25.6943481396548,406.9774646689793,1440.8254241511033,25477.557299007025,229.18308047414445,1.0,0.5
