Step,User_ID,Latency_s,Association,Offload_Ratio,Energy_J,Cum_Energy_J
0,0,2.7507646200464095,Local,0.0,0.2750764620046409,0.2750764620046409
0,1,2.3983150331365763,UAV_1,0.03500478184671695,0.30055980926917336,0.30055980926917336
0,2,1.1750011269295006,Local,0.0,0.11750011269295003,0.11750011269295003
0,3,1.1162948127923686,Local,0.0,0.11162948127923686,0.11162948127923686
0,4,3.0533842466223087,Local,0.0,0.3053384246622308,0.3053384246622308
0,5,0.5685316869195036,UAV_2,0.0011457534234654552,0.05753602941470935,0.05753602941470935
0,6,3.1940987967838206,Local,0.0,0.319409879678382,0.319409879678382
0,7,2.5477738129084746,Local,0.0,0.2547773812908474,0.2547773812908474
0,8,4.633224546271382,Local,0.0,0.46332245462713817,0.46332245462713817
0,9,1.8454175655880036,Local,0.0,0.18454175655880034,0.18454175655880034
1,0,1.8640460852876766,UAV_2,0.029260718354822145,0.24505021379934652,0.5201266758039874
1,1,1.4307041989319607,Local,0.0,0.14307041989319605,0.4436302291623694
1,2,3.935704893901333,UAV_1,0.0045495894008572724,0.4003007906212938,0.5178009033142439
1,3,2.8680790651338377,Local,0.0,0.2868079065133837,0.3984373877926206
1,4,1.5356255785716406,UAV_2,0.03971432059324264,0.12305792342252367,0.42839634808475446
1,5,1.2026901265653551,Local,0.0,0.12026901265653551,0.17780504207124487
1,6,3.3759500470353676,Local,0.0,0.3375950047035367,0.6570048843819187
1,7,4.367515380790885,Local,0.0,0.4367515380790884,0.6915289193699359
1,8,2.1876808318289496,Local,0.0,0.21876808318289492,0.682090537810033
1,9,1.1169052040819245,UAV_2,0.001146636725138331,0.1142282535849518,0.29877001014375215
2,0,2.2312509588249068,UAV_2,0.013484586915313498,0.24635436646248016,0.7664810422664676
2,1,1.8214922414172956,Local,0.0,0.18214922414172957,0.625779453304099
2,2,2.132590648885381,Local,0.0,0.21325906488853807,0.731059968202782
2,3,3.8946054173780387,UAV_1,0.019285643751665933,0.4060518903518661,0.8044892781444868
2,4,1.469853848329858,Local,0.0,0.1469853848329858,0.5753817329177402
2,5,1.518062995866957,UAV_2,0.07687939253482365,0.3314704050322777,0.5092754471035226
2,6,2.269106391754319,Local,0.0,0.22691063917543192,0.8839155235573506
2,7,1.7420912752740068,Local,0.0,0.1742091275274007,0.8657380468973366
2,8,2.9085693737953977,Local,0.0,0.2908569373795397,0.9729474751895728
2,9,2.4210345565888134,Local,0.0,0.2421034556588813,0.5408734658026335
3,0,2.336139861536591,Local,0.0,0.23361398615365908,1.0000950284201267
3,1,1.4723194590301203,UAV_1,0.17716534442032414,0.3619402048476596,0.9877196581517587
3,2,1.993142353260965,Local,0.0,0.1993142353260965,0.9303742035288785
3,3,1.1815022393721626,Local,0.0,0.11815022393721625,0.9226395020817031
3,4,4.620574856113474,Local,0.0,0.4620574856113474,1.0374392185290877
3,5,2.8275997013044902,UAV_2,0.07053531778348206,0.37707616945958056,0.8863516165631031
3,6,2.707146379894226,UAV_1,0.052886332627729266,0.32355786581889046,1.207473389376241
3,7,2.158129396695749,Local,0.0,0.21581293966957485,1.0815509865669115
3,8,2.290136372751185,Local,0.0,0.22901363727511845,1.2019611124646912
3,9,1.304466566915768,Local,0.0,0.1304466566915768,0.6713201224942102
4,0,2.7812515802484823,Local,0.0,0.2781251580248482,1.278220186444975
4,1,3.565939547870594,UAV_1,0.07369534199793744,0.5867417070092895,1.5744613651610482
4,2,3.1716747200496873,Local,0.0,0.31716747200496864,1.247541675533847
4,3,2.1364319294180305,Local,0.0,0.21364319294180303,1.136282695023506
4,4,3.2377459937168993,Local,0.0,0.3237745993716899,1.3612138179007776
4,5,2.293077505444659,UAV_0,0.0443866306842093,0.2377637363200912,1.1241153528831944
4,6,2.40639289552758,UAV_1,0.0214528762316402,0.2512273794216853,1.4587007687979263
4,7,2.740387591560871,Local,0.0,0.2740387591560871,1.3555897457229986
4,8,2.8004981722187856,Local,0.0,0.28004981722187855,1.4820109296865698
4,9,2.466635230341938,Local,0.0,0.24666352303419375,0.9179836455284041
5,0,1.5035617245592234,Local,0.0,0.15035617245592234,1.4285763589008973
5,1,2.606795683398454,UAV_1,0.013536643302664117,0.2752608763189298,1.849722241479978
5,2,2.4945651844356798,Local,0.0,0.249456518443568,1.496998193977415
5,3,1.9335006316641155,Local,0.0,0.1933500631664115,1.3296327581899177
5,4,1.3450640095337867,UAV_2,0.036481914141279284,0.13793460170275085,1.4991484196035283
5,5,1.3896357020171775,UAV_2,0.12067020589770863,0.34965851630819483,1.4737738691913893
5,6,2.1675302585668015,UAV_2,0.02019634168854856,0.4083994956484966,1.867100264446423
5,7,1.0324800136008216,UAV_0,0.012259300248978934,0.10586387146262666,1.4614536171856254
5,8,3.550743259349922,Local,0.0,0.3550743259349922,1.837085255621562
5,9,1.1357303072316427,Local,0.0,0.11357303072316427,1.0315566762515682
6,0,3.1228526792990428,Local,0.0,0.31228526792990424,1.7408616268308015
6,1,2.538513047997486,Local,0.0,0.2538513047997486,2.1035735462797267
6,2,2.5838777513927655,Local,0.0,0.2583877751392765,1.7553859691166915
6,3,7.685763769797246,UAV_0,0.1688310216980514,0.5553558579092448,1.8849886160991625
6,4,1.4659486673743352,Local,0.0,0.1465948667374335,1.6457432863409618
6,5,7.84471649462867,UAV_1,0.5051000165526996,1.0819654642724745,2.5557393334638636
6,6,0.9067600095669023,Local,0.0,0.09067600095669022,1.9577762654031132
6,7,1.1364596961834537,Local,0.0,0.11364596961834536,1.5750995868039708
6,8,0.9115216477417197,Local,0.0,0.09115216477417196,1.928237420395734
6,9,1.3432270976165126,UAV_1,0.024702410648004634,0.18144101306640947,1.2129976893179777
7,0,3.478343605591351,UAV_0,0.009796144233202278,0.35296814178549685,2.093829768616298
7,1,3.1678999522773683,UAV_1,0.8213572326277138,0.407819565925614,2.5113931122053406
7,2,1.6621076717845595,Local,0.0,0.16621076717845593,1.9215967362951474
7,3,1.2286210841921308,Local,0.0,0.12286210841921308,2.0078507245183754
7,4,2.7198273584729367,Local,0.0,0.2719827358472936,1.9177260221882553
7,5,2.096216617951264,UAV_2,0.004457221720237498,0.2120168119429295,2.767756145406793
7,6,0.8190678474510855,UAV_1,0.05404927060131327,0.08933763588272284,2.047113901285836
7,7,3.5081488658244124,Local,0.0,0.3508148865824412,1.925914473386412
7,8,3.2721087886786857,Local,0.0,0.32721087886786854,2.2554482992636027
7,9,2.539713088753931,Local,0.0,0.2539713088753931,1.4669689981933707
8,0,2.1790042163907097,Local,0.0,0.21790042163907097,2.311730190255369
8,1,2.9459019200742285,UAV_1,0.003427712299832567,0.2992303557435009,2.8106234679488415
8,2,1.1803497105140857,Local,0.0,0.11803497105140857,2.039631707346556
8,3,2.2103477288080757,Local,0.0,0.22103477288080756,2.228885497399183
8,4,3.0528732383935897,Local,0.0,0.30528732383935897,2.2230133460276145
8,5,0.8527689269003614,UAV_2,0.03509648348498242,0.09202560204842009,2.859781747455213
8,6,1.501192216343073,UAV_1,0.12616520268653267,0.17783931728396113,2.224953218569797
8,7,1.5782688419979245,UAV_0,0.0025018609542807094,0.15836865924512333,2.084283132631535
8,8,3.678960516737277,Local,0.0,0.3678960516737277,2.62334435093733
8,9,2.11658683087934,Local,0.0,0.21165868308793398,1.6786276812813046
9,0,1.029544458635664,Local,0.0,0.10295444586356639,2.4146846361189356
9,1,2.977396821753366,UAV_0,0.0008465729462687029,0.2980258522291482,3.1086493201779897
9,2,0.9532945958993417,Local,0.0,0.09532945958993416,2.13496116693649
9,3,1.3922584643026157,Local,0.0,0.13922584643026156,2.3681113438294448
9,4,2.228765227567081,Local,0.0,0.22287652275670808,2.4458898687843225
9,5,3.7919232309474427,UAV_2,0.014532895223811742,0.3968576134360745,3.256639360891288
9,6,2.8002435112261943,UAV_2,0.06862212264470183,0.508353024369129,2.733306242938926
9,7,3.1824495641762915,Local,0.0,0.3182449564176291,2.4025280890491643
9,8,2.778791524182073,UAV_0,0.5524936040901721,0.42359026454399357,3.046934615481324
9,9,0.9909045908778974,Local,0.0,0.09909045908778973,1.7777181403690943
10,0,3.4998981845054784,UAV_2,0.10081443602809675,0.37803883912629255,2.792723475245228
10,1,2.813957517442313,UAV_0,0.2195687792351604,0.326881359787657,3.4355306799656464
10,2,0.8459336649175949,Local,0.0,0.08459336649175948,2.2195545334282496
10,3,2.758601352338989,UAV_1,0.1377890869628158,0.31038370691605865,2.6784950507455036
10,4,2.397333377895097,Local,0.0,0.2397333377895097,2.6856232065738324
10,5,0.7078224487850161,UAV_2,0.013768150353629181,0.07447945337644209,3.3311188142677297
10,6,0.9441725266809361,Local,0.0,0.0944172526680936,2.8277234956070196
10,7,2.113557676793122,UAV_1,0.2528561539637481,0.48034293170758935,2.8828710207567534
10,8,1.5922659653574802,Local,0.0,0.159226596535748,3.206161212017072
10,9,0.6039568208350259,UAV_1,0.12470973178955125,0.16588805272245227,1.9436061930915465
11,0,1.2792310601853711,Local,0.0,0.1279231060185371,2.920646581263765
